date,district,precipitation_mm,temp_max_c,temp_min_c,wind_speed_kmh
2025-04-07,Nashik,0.0,34.33,26.75,13.95
2025-04-08,Nashik,0.0,35.65,21.68,9.76
2025-04-09,Nashik,0.0,40.09,30.0,13.32
2025-04-10,Nashik,0.0,32.14,24.03,9.87
2025-04-11,Nashik,0.0,36.56,27.8,9.26
2025-04-12,Nashik,0.0,34.38,26.11,8.63
2025-04-13,Nashik,0.0,37.66,24.36,5.93
2025-04-14,Nashik,1.32,34.24,26.35,2.0
2025-04-15,Nashik,0.0,36.1,26.56,6.75
2025-04-16,Nashik,0.69,35.13,22.13,8.48
2025-04-17,Nashik,0.0,36.26,24.6,9.08
2025-04-18,Nashik,0.0,39.92,27.72,8.81
2025-04-19,Nashik,0.0,37.24,29.57,8.8
2025-04-20,Nashik,0.0,37.92,30.0,9.08
2025-04-21,Nashik,0.0,37.5,29.07,6.92
2025-04-22,Nashik,0.0,38.32,25.71,10.07
2025-04-23,Nashik,0.22,40.18,30.0,4.7
2025-04-24,Nashik,1.8,36.08,28.63,6.76
2025-04-25,Nashik,0.0,38.99,30.0,12.58
2025-04-26,Nashik,0.0,40.32,30.0,8.93
2025-04-27,Nashik,0.0,35.4,27.37,10.71
2025-04-28,Nashik,0.0,35.75,27.47,3.68
2025-04-29,Nashik,0.0,41.15,30.0,12.63
2025-04-30,Nashik,0.0,37.66,25.01,10.42
2025-05-01,Nashik,0.13,34.64,23.17,7.42
2025-05-02,Nashik,0.0,38.67,24.7,4.96
2025-05-03,Nashik,0.0,35.65,26.52,6.27
2025-05-04,Nashik,0.0,36.71,23.82,13.69
2025-05-05,Nashik,0.0,34.95,22.05,10.53
2025-05-06,Nashik,0.0,35.64,22.08,6.15
2025-05-07,Nashik,0.0,36.8,23.37,9.26
2025-05-08,Nashik,0.0,38.1,26.7,11.93
2025-05-09,Nashik,0.0,38.33,30.0,10.91
2025-05-10,Nashik,0.0,35.18,24.52,8.56
2025-05-11,Nashik,0.0,35.77,23.46,8.45
2025-05-12,Nashik,1.11,40.21,30.0,12.63
2025-05-13,Nashik,0.45,38.91,27.25,9.62
2025-05-14,Nashik,0.0,39.08,26.45,9.92
2025-05-15,Nashik,1.29,39.59,27.42,6.73
2025-05-16,Nashik,0.0,32.97,25.6,11.41
2025-05-17,Nashik,0.0,33.52,23.42,5.29
2025-05-18,Nashik,0.0,37.64,29.92,6.97
2025-05-19,Nashik,0.0,39.02,29.28,7.69
2025-05-20,Nashik,0.0,39.97,29.67,15.18
2025-05-21,Nashik,1.91,37.91,28.09,10.19
2025-05-22,Nashik,0.0,35.29,25.67,7.82
2025-05-23,Nashik,0.0,40.04,30.0,6.91
2025-05-24,Nashik,0.0,37.96,27.51,5.56
2025-05-25,Nashik,0.0,40.82,29.79,15.92
2025-05-26,Nashik,0.0,39.55,27.99,13.0
2025-05-27,Nashik,0.0,37.06,24.36,11.95
2025-05-28,Nashik,0.0,33.7,25.26,8.15
2025-05-29,Nashik,0.41,36.03,24.98,5.43
2025-05-30,Nashik,0.0,33.88,21.72,14.93
2025-05-31,Nashik,0.0,38.61,29.85,8.71
2025-06-01,Nashik,0.06,36.05,24.45,17.83
2025-06-02,Nashik,22.37,40.14,29.28,6.16
2025-06-03,Nashik,13.73,38.73,25.25,5.65
2025-06-04,Nashik,13.46,36.56,27.79,11.38
2025-06-05,Nashik,15.62,37.21,26.04,17.97
2025-06-06,Nashik,0.48,36.77,25.41,6.95
2025-06-07,Nashik,18.15,35.55,23.33,20.13
2025-06-08,Nashik,0.99,38.53,26.09,17.66
2025-06-09,Nashik,1.49,33.75,26.68,11.78
2025-06-10,Nashik,19.23,37.32,27.93,11.79
2025-06-11,Nashik,1.78,34.25,26.05,11.7
2025-06-12,Nashik,0.38,33.79,26.38,10.81
2025-06-13,Nashik,0.32,38.73,27.68,15.38
2025-06-14,Nashik,11.63,36.59,24.55,12.22
2025-06-15,Nashik,9.25,39.13,29.95,9.79
2025-06-16,Nashik,1.32,36.8,22.99,11.74
2025-06-17,Nashik,15.89,34.79,26.31,14.23
2025-06-18,Nashik,1.67,36.01,26.57,14.76
2025-06-19,Nashik,22.05,35.73,27.08,8.81
2025-06-20,Nashik,20.08,37.02,28.92,11.96
2025-06-21,Nashik,22.03,36.53,28.34,10.78
2025-06-22,Nashik,23.64,35.64,23.59,16.48
2025-06-23,Nashik,24.12,37.0,26.26,18.88
2025-06-24,Nashik,0.06,37.19,28.45,15.22
2025-06-25,Nashik,9.74,33.61,23.14,15.04
2025-06-26,Nashik,26.21,31.99,21.53,15.66
2025-06-27,Nashik,23.7,37.23,23.6,10.11
2025-06-28,Nashik,10.68,36.45,22.59,9.64
2025-06-29,Nashik,16.21,37.97,25.72,16.66
2025-06-30,Nashik,20.87,32.71,25.48,14.44
2025-07-01,Nashik,17.03,38.99,25.61,11.94
2025-07-02,Nashik,14.77,34.39,26.74,16.58
2025-07-03,Nashik,12.3,37.07,27.97,15.82
2025-07-04,Nashik,24.74,36.17,23.33,18.2
2025-07-05,Nashik,5.84,35.75,26.37,13.72
2025-07-06,Nashik,1.65,35.53,24.59,10.67
2025-07-07,Nashik,0.78,33.1,19.33,9.28
2025-07-08,Nashik,17.82,33.64,24.96,15.53
2025-07-09,Nashik,14.13,34.35,23.3,16.15
2025-07-10,Nashik,23.48,34.85,22.82,13.12
2025-07-11,Nashik,18.33,36.12,27.68,15.8
2025-07-12,Nashik,16.18,32.53,23.94,11.36
2025-07-13,Nashik,17.57,36.55,26.87,13.99
2025-07-14,Nashik,25.6,34.22,22.51,11.99
2025-07-15,Nashik,23.59,33.8,23.9,11.31
2025-07-16,Nashik,20.07,36.69,23.03,10.68
2025-07-17,Nashik,18.18,34.34,26.15,13.62
2025-07-18,Nashik,0.06,33.39,25.73,13.47
2025-07-19,Nashik,1.15,35.7,26.27,13.77
2025-07-20,Nashik,1.23,35.12,25.54,16.08
2025-07-21,Nashik,6.82,35.31,22.28,19.13
2025-07-22,Nashik,6.32,33.83,26.39,15.18
2025-07-23,Nashik,18.36,36.71,23.03,15.19
2025-07-24,Nashik,0.56,32.88,21.06,14.44
2025-07-25,Nashik,0.44,34.93,24.92,15.86
2025-07-26,Nashik,7.09,31.66,17.84,10.22
2025-07-27,Nashik,23.03,31.19,17.61,8.22
2025-07-28,Nashik,13.94,32.09,23.4,5.66
2025-07-29,Nashik,9.98,36.13,24.8,14.07
2025-07-30,Nashik,10.68,34.43,26.73,20.06
2025-07-31,Nashik,14.72,29.55,17.75,6.93
2025-08-01,Nashik,22.77,33.17,22.9,12.42
2025-08-02,Nashik,27.42,34.69,24.53,14.07
2025-08-03,Nashik,0.22,32.48,23.3,14.37
2025-08-04,Nashik,0.26,33.39,20.75,18.77
2025-08-05,Nashik,25.68,33.37,19.57,14.72
2025-08-06,Nashik,1.6,31.72,24.01,10.3
2025-08-07,Nashik,13.25,28.89,15.86,12.74
2025-08-08,Nashik,19.98,30.5,22.52,12.36
2025-08-09,Nashik,0.81,32.1,20.68,15.24
2025-08-10,Nashik,0.54,29.15,18.35,14.59
2025-08-11,Nashik,0.42,30.13,22.81,12.6
2025-08-12,Nashik,14.47,32.3,18.84,12.69
2025-08-13,Nashik,12.66,29.17,21.44,10.59
2025-08-14,Nashik,0.43,28.76,16.34,13.24
2025-08-15,Nashik,1.44,29.53,21.26,14.39
2025-08-16,Nashik,1.57,28.13,15.0,12.26
2025-08-17,Nashik,14.84,31.33,17.91,13.17
2025-08-18,Nashik,15.53,31.48,18.63,5.66
2025-08-19,Nashik,8.78,28.9,18.71,15.64
2025-08-20,Nashik,0.96,29.82,19.33,10.72
2025-08-21,Nashik,25.32,23.76,15.0,12.77
2025-08-22,Nashik,15.82,28.37,19.2,13.75
2025-08-23,Nashik,26.55,29.15,20.63,13.27
2025-08-24,Nashik,18.94,26.91,15.0,18.52
2025-08-25,Nashik,20.35,30.33,20.25,11.97
2025-08-26,Nashik,6.74,29.16,19.1,18.35
2025-08-27,Nashik,12.61,26.41,15.0,13.13
2025-08-28,Nashik,0.93,29.95,22.54,20.83
2025-08-29,Nashik,13.1,32.19,20.46,13.43
2025-08-30,Nashik,13.81,26.52,15.65,11.77
2025-08-31,Nashik,0.59,30.42,23.07,10.96
2025-09-01,Nashik,1.37,25.2,15.72,14.63
2025-09-02,Nashik,1.33,28.51,18.46,7.0
2025-09-03,Nashik,1.24,29.55,19.35,17.29
2025-09-04,Nashik,17.41,28.7,20.33,15.64
2025-09-05,Nashik,11.3,31.52,24.38,15.64
2025-09-06,Nashik,21.14,26.4,15.15,10.96
2025-09-07,Nashik,1.55,28.69,19.99,11.16
2025-09-08,Nashik,0.4,29.06,19.97,8.25
2025-09-09,Nashik,1.72,24.04,15.0,14.39
2025-09-10,Nashik,1.48,32.4,23.77,13.32
2025-09-11,Nashik,0.43,29.44,22.37,9.06
2025-09-12,Nashik,0.32,26.56,15.0,14.48
2025-09-13,Nashik,15.42,26.78,15.0,12.89
2025-09-14,Nashik,9.07,25.57,16.76,7.73
2025-09-15,Nashik,8.32,24.94,15.0,15.13
2025-09-16,Nashik,20.86,26.52,15.0,13.61
2025-09-17,Nashik,0.76,27.48,18.56,7.91
2025-09-18,Nashik,15.97,27.0,17.13,11.85
2025-09-19,Nashik,0.74,25.45,15.48,20.04
2025-09-20,Nashik,22.99,26.21,15.34,14.16
2025-09-21,Nashik,0.11,25.91,15.0,14.0
2025-09-22,Nashik,10.4,27.25,17.87,8.61
2025-09-23,Nashik,8.32,21.47,15.0,10.77
2025-09-24,Nashik,19.76,25.13,15.0,10.83
2025-09-25,Nashik,24.96,26.97,19.97,12.45
2025-09-26,Nashik,1.65,25.97,16.59,12.16
2025-09-27,Nashik,13.79,23.91,15.0,16.3
2025-09-28,Nashik,26.49,22.17,15.0,14.23
2025-09-29,Nashik,26.14,25.2,15.0,14.27
2025-09-30,Nashik,10.89,27.05,15.17,11.18
2025-10-01,Nashik,0.0,27.61,16.17,8.96
2025-10-02,Nashik,0.0,22.82,15.0,5.84
2025-10-03,Nashik,0.0,24.74,16.87,8.32
2025-10-04,Nashik,0.05,22.79,15.0,8.9
2025-10-05,Nashik,0.43,23.2,15.51,7.9
2025-10-06,Nashik,0.0,27.01,17.47,10.76
2025-10-07,Nashik,0.0,26.09,16.68,8.13
2025-10-08,Nashik,0.0,25.78,17.86,10.02
2025-10-09,Nashik,0.0,23.6,15.0,15.45
2025-10-10,Nashik,0.0,24.06,15.0,11.55
2025-10-11,Nashik,0.0,25.53,15.0,11.58
2025-10-12,Nashik,1.15,24.73,15.0,10.69
2025-10-13,Nashik,1.26,21.0,15.0,6.82
2025-10-14,Nashik,0.51,24.34,15.0,7.86
2025-10-15,Nashik,0.0,24.73,15.88,11.7
2025-10-16,Nashik,0.0,21.08,15.0,7.99
2025-10-17,Nashik,0.0,21.0,15.0,9.67
2025-10-18,Nashik,0.0,21.79,15.0,11.24
2025-10-19,Nashik,0.0,23.51,15.0,10.18
2025-10-20,Nashik,0.0,25.11,15.0,5.84
2025-10-21,Nashik,0.0,22.81,15.5,2.8
2025-10-22,Nashik,0.27,26.99,19.84,6.99
2025-10-23,Nashik,0.0,28.44,19.0,7.87
2025-10-24,Nashik,0.03,27.66,16.77,4.34
2025-10-25,Nashik,0.0,22.28,15.0,2.0
2025-10-26,Nashik,0.0,25.52,17.58,3.72
2025-10-27,Nashik,0.0,23.42,15.0,7.1
2025-10-28,Nashik,0.0,24.75,16.66,11.33
2025-10-29,Nashik,0.76,21.9,15.0,6.27
2025-10-30,Nashik,1.72,22.2,15.0,15.04
2025-10-31,Nashik,0.0,22.08,15.0,14.36
2025-11-01,Nashik,0.0,21.24,15.0,10.72
2025-11-02,Nashik,0.46,24.09,15.0,2.0
2025-11-03,Nashik,0.0,21.0,15.0,11.66
2025-11-04,Nashik,0.0,26.02,15.0,11.77
2025-11-05,Nashik,0.0,25.16,15.26,10.59
2025-11-06,Nashik,0.0,24.66,15.32,9.75
2025-11-07,Nashik,0.0,21.82,15.0,9.08
2025-11-08,Nashik,0.0,21.52,15.0,10.59
2025-11-09,Nashik,0.0,21.0,15.0,11.79
2025-11-10,Nashik,0.0,24.25,16.11,5.6
2025-11-11,Nashik,0.0,23.21,15.0,8.88
2025-11-12,Nashik,1.95,21.0,15.0,10.18
2025-11-13,Nashik,1.91,21.31,15.0,10.34
2025-11-14,Nashik,0.0,23.96,15.0,9.22
2025-11-15,Nashik,1.86,24.7,15.0,7.95
2025-11-16,Nashik,0.0,26.18,18.72,13.38
2025-11-17,Nashik,1.88,24.37,15.35,13.13
2025-11-18,Nashik,0.0,21.79,15.0,6.87
2025-11-19,Nashik,0.0,21.0,15.0,12.64
2025-11-20,Nashik,0.29,25.23,15.0,10.7
2025-11-21,Nashik,0.0,22.96,15.0,6.11
2025-11-22,Nashik,0.0,22.67,15.0,10.42
2025-11-23,Nashik,0.0,21.25,15.0,7.66
2025-11-24,Nashik,0.0,21.07,15.0,12.07
2025-11-25,Nashik,1.27,22.19,15.0,7.5
2025-11-26,Nashik,0.0,21.79,15.0,6.21
2025-11-27,Nashik,0.0,22.39,15.0,14.19
2025-11-28,Nashik,0.0,21.0,15.0,10.54
2025-11-29,Nashik,0.0,21.0,15.0,8.71
2025-11-30,Nashik,0.0,23.18,15.0,9.15
2025-12-01,Nashik,0.0,24.17,15.0,2.0
2025-12-02,Nashik,0.0,23.9,16.12,10.8
2025-12-03,Nashik,0.36,21.43,15.0,3.14
2025-12-04,Nashik,1.58,21.08,15.0,9.9
2025-12-05,Nashik,0.0,24.86,16.18,12.13
2025-12-06,Nashik,0.0,24.32,16.41,10.27
2025-12-07,Nashik,0.0,22.52,15.0,4.59
2025-12-08,Nashik,0.0,24.48,15.97,8.63
2025-12-09,Nashik,0.0,21.0,15.0,5.44
2025-12-10,Nashik,0.0,25.57,18.36,7.21
