date,commodity,mandi,district,min_price,max_price,modal_price,arrivals_tonnes,variety,grade,source,fetched_at
2024-10-11,Tomato,Niphad,Nashik,941,1226,1084,81.4,Demo composite,Demo,demo_generated,
2024-10-12,Tomato,Niphad,Nashik,869,1163,1016,72.17,Demo composite,Demo,demo_generated,
2024-10-13,Tomato,Niphad,Nashik,928,1167,1048,74.93,Demo composite,Demo,demo_generated,
2024-10-14,Tomato,Niphad,Nashik,908,1110,1009,106.44,Demo composite,Demo,demo_generated,
2024-10-15,Tomato,Niphad,Nashik,978,1242,1110,70.63,Demo composite,Demo,demo_generated,
2024-10-16,Tomato,Niphad,Nashik,985,1179,1082,71.89,Demo composite,Demo,demo_generated,
2024-10-17,Tomato,Niphad,Nashik,933,1191,1062,85.32,Demo composite,Demo,demo_generated,
2024-10-18,Tomato,Niphad,Nashik,1143,1433,1288,82.79,Demo composite,Demo,demo_generated,
2024-10-19,Tomato,Niphad,Nashik,1168,1392,1280,70.52,Demo composite,Demo,demo_generated,
2024-10-20,Tomato,Niphad,Nashik,1171,1421,1296,82.67,Demo composite,Demo,demo_generated,
2024-10-21,Tomato,Niphad,Nashik,1019,1353,1186,99.62,Demo composite,Demo,demo_generated,
2024-10-22,Tomato,Niphad,Nashik,1151,1424,1288,76.68,Demo composite,Demo,demo_generated,
2024-10-23,Tomato,Niphad,Nashik,1095,1454,1274,80.41,Demo composite,Demo,demo_generated,
2024-10-24,Tomato,Niphad,Nashik,1163,1411,1287,74.11,Demo composite,Demo,demo_generated,
2024-10-25,Tomato,Niphad,Nashik,1217,1450,1334,82.98,Demo composite,Demo,demo_generated,
2024-10-26,Tomato,Niphad,Nashik,1140,1366,1253,79.52,Demo composite,Demo,demo_generated,
2024-10-27,Tomato,Niphad,Nashik,1238,1483,1361,75.08,Demo composite,Demo,demo_generated,
2024-10-28,Tomato,Niphad,Nashik,1162,1420,1291,91.03,Demo composite,Demo,demo_generated,
2024-10-29,Tomato,Niphad,Nashik,1182,1391,1286,72.04,Demo composite,Demo,demo_generated,
2024-10-30,Tomato,Niphad,Nashik,1173,1387,1280,72.96,Demo composite,Demo,demo_generated,
2024-10-31,Tomato,Niphad,Nashik,1212,1504,1358,80.86,Demo composite,Demo,demo_generated,
2024-11-01,Tomato,Niphad,Nashik,1783,2370,2076,52.46,Demo composite,Demo,demo_generated,
2024-11-02,Tomato,Niphad,Nashik,1587,1911,1749,47.63,Demo composite,Demo,demo_generated,
2024-11-03,Tomato,Niphad,Nashik,1445,1839,1642,49.79,Demo composite,Demo,demo_generated,
2024-11-04,Tomato,Niphad,Nashik,1395,1727,1561,59.61,Demo composite,Demo,demo_generated,
2024-11-05,Tomato,Niphad,Nashik,1451,1917,1684,48.24,Demo composite,Demo,demo_generated,
2024-11-06,Tomato,Niphad,Nashik,1462,1740,1601,56.87,Demo composite,Demo,demo_generated,
2024-11-07,Tomato,Niphad,Nashik,1472,1986,1729,56.64,Demo composite,Demo,demo_generated,
2024-11-08,Tomato,Niphad,Nashik,1503,1933,1718,55.35,Demo composite,Demo,demo_generated,
2024-11-09,Tomato,Niphad,Nashik,1509,1910,1709,48.58,Demo composite,Demo,demo_generated,
2024-11-10,Tomato,Niphad,Nashik,1474,1847,1661,56.16,Demo composite,Demo,demo_generated,
2024-11-11,Tomato,Niphad,Nashik,1378,1679,1528,67.35,Demo composite,Demo,demo_generated,
2024-11-12,Tomato,Niphad,Nashik,1416,1763,1589,52.18,Demo composite,Demo,demo_generated,
2024-11-13,Tomato,Niphad,Nashik,1431,1769,1600,51.03,Demo composite,Demo,demo_generated,
2024-11-14,Tomato,Niphad,Nashik,1404,1817,1611,51.15,Demo composite,Demo,demo_generated,
2024-11-15,Tomato,Niphad,Nashik,1370,1832,1601,57.12,Demo composite,Demo,demo_generated,
2024-11-16,Tomato,Niphad,Nashik,1435,1817,1626,50.62,Demo composite,Demo,demo_generated,
2024-11-17,Tomato,Niphad,Nashik,1452,1910,1681,54.02,Demo composite,Demo,demo_generated,
2024-11-18,Tomato,Niphad,Nashik,1368,1672,1520,67.26,Demo composite,Demo,demo_generated,
2024-11-19,Tomato,Niphad,Nashik,1441,1867,1654,49.3,Demo composite,Demo,demo_generated,
2024-11-20,Tomato,Niphad,Nashik,1465,1876,1670,48.56,Demo composite,Demo,demo_generated,
2024-11-21,Tomato,Niphad,Nashik,1411,1676,1543,54.78,Demo composite,Demo,demo_generated,
2024-11-22,Tomato,Niphad,Nashik,1429,1921,1675,48.61,Demo composite,Demo,demo_generated,
2024-11-23,Tomato,Niphad,Nashik,1428,1873,1650,53.4,Demo composite,Demo,demo_generated,
2024-11-24,Tomato,Niphad,Nashik,1486,1807,1647,57.09,Demo composite,Demo,demo_generated,
2024-11-25,Tomato,Niphad,Nashik,1321,1692,1507,60.21,Demo composite,Demo,demo_generated,
2024-11-26,Tomato,Niphad,Nashik,1358,1728,1543,53.1,Demo composite,Demo,demo_generated,
2024-11-27,Tomato,Niphad,Nashik,1377,1801,1589,52.65,Demo composite,Demo,demo_generated,
2024-11-28,Tomato,Niphad,Nashik,1441,1841,1641,52.33,Demo composite,Demo,demo_generated,
2024-11-29,Tomato,Niphad,Nashik,1515,1808,1662,48.43,Demo composite,Demo,demo_generated,
2024-11-30,Tomato,Niphad,Nashik,1360,1694,1527,54.07,Demo composite,Demo,demo_generated,
2024-12-01,Tomato,Niphad,Nashik,1769,2177,1973,54.21,Demo composite,Demo,demo_generated,
2024-12-02,Tomato,Niphad,Nashik,1683,2053,1868,68.96,Demo composite,Demo,demo_generated,
2024-12-03,Tomato,Niphad,Nashik,1725,2070,1897,50.47,Demo composite,Demo,demo_generated,
2024-12-04,Tomato,Niphad,Nashik,1652,2064,1858,56.99,Demo composite,Demo,demo_generated,
2024-12-05,Tomato,Niphad,Nashik,1680,2133,1906,54.82,Demo composite,Demo,demo_generated,
2024-12-06,Tomato,Niphad,Nashik,1787,2245,2016,55.35,Demo composite,Demo,demo_generated,
2024-12-07,Tomato,Niphad,Nashik,1663,2161,1912,57.52,Demo composite,Demo,demo_generated,
2024-12-08,Tomato,Niphad,Nashik,1745,2311,2028,48.42,Demo composite,Demo,demo_generated,
2024-12-09,Tomato,Niphad,Nashik,1620,2067,1844,60.57,Demo composite,Demo,demo_generated,
2024-12-10,Tomato,Niphad,Nashik,1765,2209,1987,47.3,Demo composite,Demo,demo_generated,
2024-12-11,Tomato,Niphad,Nashik,1793,2246,2020,50.27,Demo composite,Demo,demo_generated,
2024-12-12,Tomato,Niphad,Nashik,1669,2232,1951,50.34,Demo composite,Demo,demo_generated,
2024-12-13,Tomato,Niphad,Nashik,1720,2326,2023,48.33,Demo composite,Demo,demo_generated,
2024-12-14,Tomato,Niphad,Nashik,1765,2333,2049,50.15,Demo composite,Demo,demo_generated,
2024-12-15,Tomato,Niphad,Nashik,1662,2144,1903,57.65,Demo composite,Demo,demo_generated,
2024-12-16,Tomato,Niphad,Nashik,1617,2156,1886,60.15,Demo composite,Demo,demo_generated,
2024-12-17,Tomato,Niphad,Nashik,1729,2071,1900,49.7,Demo composite,Demo,demo_generated,
2024-12-18,Tomato,Niphad,Nashik,1761,2352,2056,49.25,Demo composite,Demo,demo_generated,
2024-12-19,Tomato,Niphad,Nashik,1875,2203,2039,47.55,Demo composite,Demo,demo_generated,
2024-12-20,Tomato,Niphad,Nashik,1662,2186,1924,53.53,Demo composite,Demo,demo_generated,
2024-12-21,Tomato,Niphad,Nashik,1803,2133,1968,56.08,Demo composite,Demo,demo_generated,
2024-12-22,Tomato,Niphad,Nashik,1808,2368,2088,56.9,Demo composite,Demo,demo_generated,
2024-12-23,Tomato,Niphad,Nashik,1778,2099,1938,69.95,Demo composite,Demo,demo_generated,
2024-12-24,Tomato,Niphad,Nashik,1750,2206,1978,48.48,Demo composite,Demo,demo_generated,
2024-12-25,Tomato,Niphad,Nashik,1802,2387,2094,53.78,Demo composite,Demo,demo_generated,
2024-12-26,Tomato,Niphad,Nashik,1793,2163,1978,54.88,Demo composite,Demo,demo_generated,
2024-12-27,Tomato,Niphad,Nashik,1708,2305,2007,54.62,Demo composite,Demo,demo_generated,
2024-12-28,Tomato,Niphad,Nashik,1825,2337,2081,47.75,Demo composite,Demo,demo_generated,
2024-12-29,Tomato,Niphad,Nashik,1712,2222,1967,56.44,Demo composite,Demo,demo_generated,
2024-12-30,Tomato,Niphad,Nashik,1694,2041,1867,60.17,Demo composite,Demo,demo_generated,
2024-12-31,Tomato,Niphad,Nashik,1874,2459,2167,51.98,Demo composite,Demo,demo_generated,
2025-01-01,Tomato,Niphad,Nashik,2238,2681,2459,53.18,Demo composite,Demo,demo_generated,
2025-01-02,Tomato,Niphad,Nashik,2231,2842,2536,50.33,Demo composite,Demo,demo_generated,
2025-01-03,Tomato,Niphad,Nashik,2116,2839,2478,53.98,Demo composite,Demo,demo_generated,
2025-01-04,Tomato,Niphad,Nashik,2090,2598,2344,52.5,Demo composite,Demo,demo_generated,
2025-01-05,Tomato,Niphad,Nashik,2207,2640,2423,48.42,Demo composite,Demo,demo_generated,
2025-01-06,Tomato,Niphad,Nashik,1976,2464,2220,62.96,Demo composite,Demo,demo_generated,
2025-01-07,Tomato,Niphad,Nashik,2187,2721,2454,53.83,Demo composite,Demo,demo_generated,
2025-01-08,Tomato,Niphad,Nashik,2112,2694,2403,49.46,Demo composite,Demo,demo_generated,
2025-01-09,Tomato,Niphad,Nashik,2118,2638,2378,47.55,Demo composite,Demo,demo_generated,
2025-01-10,Tomato,Niphad,Nashik,2123,2702,2412,49.54,Demo composite,Demo,demo_generated,
2025-01-11,Tomato,Niphad,Nashik,2126,2735,2431,54.53,Demo composite,Demo,demo_generated,
2025-01-12,Tomato,Niphad,Nashik,2116,2777,2447,50.49,Demo composite,Demo,demo_generated,
2025-01-13,Tomato,Niphad,Nashik,1980,2540,2260,64.62,Demo composite,Demo,demo_generated,
2025-01-14,Tomato,Niphad,Nashik,2055,2678,2366,52.55,Demo composite,Demo,demo_generated,
2025-01-15,Tomato,Niphad,Nashik,2200,2773,2486,56.83,Demo composite,Demo,demo_generated,
2025-01-16,Tomato,Niphad,Nashik,2148,2637,2392,55.56,Demo composite,Demo,demo_generated,
2025-01-17,Tomato,Niphad,Nashik,2245,2678,2461,52.35,Demo composite,Demo,demo_generated,
2025-01-18,Tomato,Niphad,Nashik,2082,2463,2273,56.0,Demo composite,Demo,demo_generated,
2025-01-19,Tomato,Niphad,Nashik,2102,2529,2316,50.68,Demo composite,Demo,demo_generated,
2025-01-20,Tomato,Niphad,Nashik,1991,2342,2166,68.7,Demo composite,Demo,demo_generated,
2025-01-21,Tomato,Niphad,Nashik,2173,2688,2430,56.15,Demo composite,Demo,demo_generated,
2025-01-22,Tomato,Niphad,Nashik,2065,2465,2265,53.47,Demo composite,Demo,demo_generated,
2025-01-23,Tomato,Niphad,Nashik,1962,2653,2308,57.22,Demo composite,Demo,demo_generated,
2025-01-24,Tomato,Niphad,Nashik,2089,2703,2396,50.43,Demo composite,Demo,demo_generated,
2025-01-25,Tomato,Niphad,Nashik,2077,2670,2374,51.24,Demo composite,Demo,demo_generated,
2025-01-26,Tomato,Niphad,Nashik,1949,2464,2206,49.37,Demo composite,Demo,demo_generated,
2025-01-27,Tomato,Niphad,Nashik,1801,2380,2090,61.14,Demo composite,Demo,demo_generated,
2025-01-28,Tomato,Niphad,Nashik,2085,2757,2421,53.0,Demo composite,Demo,demo_generated,
2025-01-29,Tomato,Niphad,Nashik,2146,2684,2415,48.66,Demo composite,Demo,demo_generated,
2025-01-30,Tomato,Niphad,Nashik,1971,2575,2273,48.01,Demo composite,Demo,demo_generated,
2025-01-31,Tomato,Niphad,Nashik,2072,2484,2278,52.09,Demo composite,Demo,demo_generated,
2025-02-01,Tomato,Niphad,Nashik,1691,1998,1844,84.4,Demo composite,Demo,demo_generated,
2025-02-02,Tomato,Niphad,Nashik,1640,2063,1852,74.8,Demo composite,Demo,demo_generated,
2025-02-03,Tomato,Niphad,Nashik,1638,1946,1792,97.42,Demo composite,Demo,demo_generated,
2025-02-04,Tomato,Niphad,Nashik,1619,2081,1850,83.4,Demo composite,Demo,demo_generated,
2025-02-05,Tomato,Niphad,Nashik,1669,2183,1926,80.7,Demo composite,Demo,demo_generated,
2025-02-06,Tomato,Niphad,Nashik,1600,2027,1813,75.96,Demo composite,Demo,demo_generated,
2025-02-07,Tomato,Niphad,Nashik,1654,2079,1866,83.42,Demo composite,Demo,demo_generated,
2025-02-08,Tomato,Niphad,Nashik,1724,2173,1949,83.54,Demo composite,Demo,demo_generated,
2025-02-09,Tomato,Niphad,Nashik,1701,2252,1977,79.4,Demo composite,Demo,demo_generated,
2025-02-10,Tomato,Niphad,Nashik,1544,1954,1749,97.53,Demo composite,Demo,demo_generated,
2025-02-11,Tomato,Niphad,Nashik,1564,2091,1828,76.46,Demo composite,Demo,demo_generated,
2025-02-12,Tomato,Niphad,Nashik,1730,2131,1931,73.01,Demo composite,Demo,demo_generated,
2025-02-13,Tomato,Niphad,Nashik,1582,2118,1850,70.62,Demo composite,Demo,demo_generated,
2025-02-14,Tomato,Niphad,Nashik,1671,2135,1903,75.04,Demo composite,Demo,demo_generated,
2025-02-15,Tomato,Niphad,Nashik,1587,2058,1823,74.58,Demo composite,Demo,demo_generated,
2025-02-16,Tomato,Niphad,Nashik,1707,2188,1947,85.56,Demo composite,Demo,demo_generated,
2025-02-17,Tomato,Niphad,Nashik,1540,2055,1798,102.65,Demo composite,Demo,demo_generated,
2025-02-18,Tomato,Niphad,Nashik,1709,2241,1975,85.27,Demo composite,Demo,demo_generated,
2025-02-19,Tomato,Niphad,Nashik,1745,2273,2009,72.02,Demo composite,Demo,demo_generated,
2025-02-20,Tomato,Niphad,Nashik,1689,2176,1932,78.87,Demo composite,Demo,demo_generated,
2025-02-21,Tomato,Niphad,Nashik,1837,2247,2042,85.61,Demo composite,Demo,demo_generated,
2025-02-22,Tomato,Niphad,Nashik,1794,2211,2002,81.94,Demo composite,Demo,demo_generated,
2025-02-23,Tomato,Niphad,Nashik,1635,2143,1889,70.88,Demo composite,Demo,demo_generated,
2025-02-24,Tomato,Niphad,Nashik,1633,2047,1840,107.03,Demo composite,Demo,demo_generated,
2025-02-25,Tomato,Niphad,Nashik,1790,2352,2071,76.66,Demo composite,Demo,demo_generated,
2025-02-26,Tomato,Niphad,Nashik,1642,2160,1901,78.91,Demo composite,Demo,demo_generated,
2025-02-27,Tomato,Niphad,Nashik,1903,2245,2074,83.08,Demo composite,Demo,demo_generated,
2025-02-28,Tomato,Niphad,Nashik,1798,2143,1971,71.0,Demo composite,Demo,demo_generated,
2025-03-01,Tomato,Niphad,Nashik,1832,2399,2116,81.37,Demo composite,Demo,demo_generated,
2025-03-02,Tomato,Niphad,Nashik,1867,2456,2162,81.78,Demo composite,Demo,demo_generated,
2025-03-03,Tomato,Niphad,Nashik,1636,2098,1867,92.37,Demo composite,Demo,demo_generated,
2025-03-04,Tomato,Niphad,Nashik,1920,2424,2172,70.31,Demo composite,Demo,demo_generated,
2025-03-05,Tomato,Niphad,Nashik,1908,2371,2139,70.7,Demo composite,Demo,demo_generated,
2025-03-06,Tomato,Niphad,Nashik,1979,2402,2190,80.72,Demo composite,Demo,demo_generated,
2025-03-07,Tomato,Niphad,Nashik,1880,2491,2186,75.67,Demo composite,Demo,demo_generated,
2025-03-08,Tomato,Niphad,Nashik,1849,2296,2072,79.45,Demo composite,Demo,demo_generated,
2025-03-09,Tomato,Niphad,Nashik,1878,2263,2071,84.08,Demo composite,Demo,demo_generated,
2025-03-10,Tomato,Niphad,Nashik,1653,2148,1901,94.47,Demo composite,Demo,demo_generated,
2025-03-11,Tomato,Niphad,Nashik,1968,2409,2189,85.83,Demo composite,Demo,demo_generated,
2025-03-12,Tomato,Niphad,Nashik,1852,2359,2105,72.37,Demo composite,Demo,demo_generated,
2025-03-13,Tomato,Niphad,Nashik,1960,2503,2232,81.18,Demo composite,Demo,demo_generated,
2025-03-14,Tomato,Niphad,Nashik,1862,2345,2104,84.52,Demo composite,Demo,demo_generated,
2025-03-15,Tomato,Niphad,Nashik,1875,2222,2049,75.94,Demo composite,Demo,demo_generated,
2025-03-16,Tomato,Niphad,Nashik,1832,2293,2062,70.51,Demo composite,Demo,demo_generated,
2025-03-17,Tomato,Niphad,Nashik,1793,2233,2013,94.49,Demo composite,Demo,demo_generated,
2025-03-18,Tomato,Niphad,Nashik,1958,2482,2220,81.97,Demo composite,Demo,demo_generated,
2025-03-19,Tomato,Niphad,Nashik,1874,2274,2074,84.24,Demo composite,Demo,demo_generated,
2025-03-20,Tomato,Niphad,Nashik,1837,2324,2080,84.43,Demo composite,Demo,demo_generated,
2025-03-21,Tomato,Niphad,Nashik,1893,2437,2165,79.46,Demo composite,Demo,demo_generated,
2025-03-22,Tomato,Niphad,Nashik,1855,2279,2067,74.0,Demo composite,Demo,demo_generated,
2025-03-23,Tomato,Niphad,Nashik,1830,2236,2033,83.88,Demo composite,Demo,demo_generated,
2025-03-24,Tomato,Niphad,Nashik,1710,2243,1976,103.25,Demo composite,Demo,demo_generated,
2025-03-25,Tomato,Niphad,Nashik,1771,2394,2083,77.67,Demo composite,Demo,demo_generated,
2025-03-26,Tomato,Niphad,Nashik,1822,2431,2127,82.95,Demo composite,Demo,demo_generated,
2025-03-27,Tomato,Niphad,Nashik,1889,2400,2144,73.13,Demo composite,Demo,demo_generated,
2025-03-28,Tomato,Niphad,Nashik,1703,2289,1996,80.43,Demo composite,Demo,demo_generated,
2025-03-29,Tomato,Niphad,Nashik,1904,2247,2075,77.0,Demo composite,Demo,demo_generated,
2025-03-30,Tomato,Niphad,Nashik,1982,2341,2162,71.85,Demo composite,Demo,demo_generated,
2025-03-31,Tomato,Niphad,Nashik,1668,2088,1878,89.08,Demo composite,Demo,demo_generated,
2025-04-01,Tomato,Niphad,Nashik,1827,2160,1994,75.12,Demo composite,Demo,demo_generated,
2025-04-02,Tomato,Niphad,Nashik,1747,2068,1908,76.24,Demo composite,Demo,demo_generated,
2025-04-03,Tomato,Niphad,Nashik,1814,2222,2018,73.47,Demo composite,Demo,demo_generated,
2025-04-04,Tomato,Niphad,Nashik,1796,2109,1952,76.74,Demo composite,Demo,demo_generated,
2025-04-05,Tomato,Niphad,Nashik,1740,2043,1891,83.7,Demo composite,Demo,demo_generated,
2025-04-06,Tomato,Niphad,Nashik,1761,2167,1964,77.88,Demo composite,Demo,demo_generated,
2025-04-07,Tomato,Niphad,Nashik,1565,2070,1818,103.03,Demo composite,Demo,demo_generated,
2025-04-08,Tomato,Niphad,Nashik,1721,2091,1906,75.27,Demo composite,Demo,demo_generated,
2025-04-09,Tomato,Niphad,Nashik,1758,2132,1945,80.9,Demo composite,Demo,demo_generated,
2025-04-10,Tomato,Niphad,Nashik,1753,2072,1912,84.76,Demo composite,Demo,demo_generated,
2025-04-11,Tomato,Niphad,Nashik,1759,2109,1934,81.34,Demo composite,Demo,demo_generated,
2025-04-12,Tomato,Niphad,Nashik,1584,2119,1851,72.39,Demo composite,Demo,demo_generated,
2025-04-13,Tomato,Niphad,Nashik,1690,1993,1842,73.18,Demo composite,Demo,demo_generated,
2025-04-14,Tomato,Niphad,Nashik,1570,1907,1739,99.9,Demo composite,Demo,demo_generated,
2025-04-15,Tomato,Niphad,Nashik,1676,2219,1947,79.45,Demo composite,Demo,demo_generated,
2025-04-16,Tomato,Niphad,Nashik,1611,2064,1838,83.56,Demo composite,Demo,demo_generated,
2025-04-17,Tomato,Niphad,Nashik,1607,2129,1868,82.3,Demo composite,Demo,demo_generated,
2025-04-18,Tomato,Niphad,Nashik,1675,2097,1886,84.58,Demo composite,Demo,demo_generated,
2025-04-19,Tomato,Niphad,Nashik,1749,2161,1955,85.61,Demo composite,Demo,demo_generated,
2025-04-20,Tomato,Niphad,Nashik,1726,2269,1997,75.21,Demo composite,Demo,demo_generated,
2025-04-21,Tomato,Niphad,Nashik,1632,2031,1831,92.02,Demo composite,Demo,demo_generated,
2025-04-22,Tomato,Niphad,Nashik,1750,2063,1906,71.46,Demo composite,Demo,demo_generated,
2025-04-23,Tomato,Niphad,Nashik,1740,2090,1915,70.53,Demo composite,Demo,demo_generated,
2025-04-24,Tomato,Niphad,Nashik,1730,2255,1993,81.29,Demo composite,Demo,demo_generated,
2025-04-25,Tomato,Niphad,Nashik,1684,2150,1917,84.13,Demo composite,Demo,demo_generated,
